Pillar,Question Type,Status,Notes,Goal,Signals,Weak Answer,Strong Answer,IC5/IC6 Example,IC7/D1 Example
1. Strategy,What's vision?,,,Assess ability to set long-term direction,"Vision clarity, market insight, business acumen","Feature-focused, reactive","Connects to mission, anticipates shifts, quantifies opportunity","We should build X because users asked","X is a $200M opportunity defending core business..."
1. Strategy,How launch?,,,Assess ability to set long-term direction,"Vision clarity, market insight, business acumen","Feature-focused, reactive","Connects to mission, anticipates shifts, quantifies opportunity","We should build X because users asked","X is a $200M opportunity defending core business..."
1. Strategy,Build or buy?,,,Assess ability to set long-term direction,"Vision clarity, market insight, business acumen","Feature-focused, reactive","Connects to mission, anticipates shifts, quantifies opportunity","We should build X because users asked","X is a $200M opportunity defending core business..."
1. Strategy,How defend?,,,Assess ability to set long-term direction,"Vision clarity, market insight, business acumen","Feature-focused, reactive","Connects to mission, anticipates shifts, quantifies opportunity","We should build X because users asked","X is a $200M opportunity defending core business..."
1. Strategy,What to kill?,,,Assess ability to set long-term direction,"Vision clarity, market insight, business acumen","Feature-focused, reactive","Connects to mission, anticipates shifts, quantifies opportunity","We should build X because users asked","X is a $200M opportunity defending core business..."
2. Sense,Design X,,,Assess product intuition and user empathy,"User-centricity, creativity, structured prioritization","Jumps to solution, no segmentation","Segments users, identifies JTBD, prioritizes with logic","I'd add feature X because top request","Core JTBD is Y. Segment A values speed. Prioritizing A (70% rev)..."
2. Sense,Improve Y,,,Assess product intuition and user empathy,"User-centricity, creativity, structured prioritization","Jumps to solution, no segmentation","Segments users, identifies JTBD, prioritizes with logic","I'd add feature X because top request","Core JTBD is Y. Segment A values speed. Prioritizing A (70% rev)..."
2. Sense,Pick top 3,,,Assess product intuition and user empathy,"User-centricity, creativity, structured prioritization","Jumps to solution, no segmentation","Segments users, identifies JTBD, prioritizes with logic","I'd add feature X because top request","Core JTBD is Y. Segment A values speed. Prioritizing A (70% rev)..."
2. Sense,Kill or keep?,,,Assess product intuition and user empathy,"User-centricity, creativity, structured prioritization","Jumps to solution, no segmentation","Segments users, identifies JTBD, prioritizes with logic","I'd add feature X because top request","Core JTBD is Y. Segment A values speed. Prioritizing A (70% rev)..."
2. Sense,Who's user?,,,Assess product intuition and user empathy,"User-centricity, creativity, structured prioritization","Jumps to solution, no segmentation","Segments users, identifies JTBD, prioritizes with logic","I'd add feature X because top request","Core JTBD is Y. Segment A values speed. Prioritizing A (70% rev)..."
3. Execution,How ship?,,,Assess ability to ship through ambiguity,"Operational rigor, XFN leadership, tradeoff judgment","Generic process, takes vague credit, blames others","Owns hard tradeoffs, specific XFN tactics, quantifies impact","Wrote PRD and shipped on time","3 weeks late. De-scoped Y (10% value). Got Legal aligned. Shipped early."
3. Execution,Who owns?,,,Assess ability to ship through ambiguity,"Operational rigor, XFN leadership, tradeoff judgment","Generic process, takes vague credit, blames others","Owns hard tradeoffs, specific XFN tactics, quantifies impact","Wrote PRD and shipped on time","3 weeks late. De-scoped Y (10% value). Got Legal aligned. Shipped early."
3. Execution,How align XFN?,,,Assess ability to ship through ambiguity,"Operational rigor, XFN leadership, tradeoff judgment","Generic process, takes vague credit, blames others","Owns hard tradeoffs, specific XFN tactics, quantifies impact","Wrote PRD and shipped on time","3 weeks late. De-scoped Y (10% value). Got Legal aligned. Shipped early."
3. Execution,What's risk?,,,Assess ability to ship through ambiguity,"Operational rigor, XFN leadership, tradeoff judgment","Generic process, takes vague credit, blames others","Owns hard tradeoffs, specific XFN tactics, quantifies impact","Wrote PRD and shipped on time","3 weeks late. De-scoped Y (10% value). Got Legal aligned. Shipped early."
3. Execution,Why delayed?,,,Assess ability to ship through ambiguity,"Operational rigor, XFN leadership, tradeoff judgment","Generic process, takes vague credit, blames others","Owns hard tradeoffs, specific XFN tactics, quantifies impact","Wrote PRD and shipped on time","3 weeks late. De-scoped Y (10% value). Got Legal aligned. Shipped early."
4. Technical,Design system,,,Assess partnership with Eng on system decisions,"Tradeoff fluency, scalability, build-vs-buy","Superficial knowledge, can't explain why","Articulates tradeoffs (CAP), understands cost, proposed phases","Use NoSQL for flexibility","Start w/ Postgres. Shard at 50M. Evaluate DynamoDB for write-heavy feed."
4. Technical,Which DB?,,,Assess partnership with Eng on system decisions,"Tradeoff fluency, scalability, build-vs-buy","Superficial knowledge, can't explain why","Articulates tradeoffs (CAP), understands cost, proposed phases","Use NoSQL for flexibility","Start w/ Postgres. Shard at 50M. Evaluate DynamoDB for write-heavy feed."
4. Technical,Scale 10x?,,,Assess partnership with Eng on system decisions,"Tradeoff fluency, scalability, build-vs-buy","Superficial knowledge, can't explain why","Articulates tradeoffs (CAP), understands cost, proposed phases","Use NoSQL for flexibility","Start w/ Postgres. Shard at 50M. Evaluate DynamoDB for write-heavy feed."
4. Technical,Build or buy?,,,Assess partnership with Eng on system decisions,"Tradeoff fluency, scalability, build-vs-buy","Superficial knowledge, can't explain why","Articulates tradeoffs (CAP), understands cost, proposed phases","Use NoSQL for flexibility","Start w/ Postgres. Shard at 50M. Evaluate DynamoDB for write-heavy feed."
4. Technical,Where bottleneck?,,,Assess partnership with Eng on system decisions,"Tradeoff fluency, scalability, build-vs-buy","Superficial knowledge, can't explain why","Articulates tradeoffs (CAP), understands cost, proposed phases","Use NoSQL for flexibility","Start w/ Postgres. Shard at 50M. Evaluate DynamoDB for write-heavy feed."
5. Domain,Ads,,,Assess expertise in product area,"Industry knowledge, regulatory awareness","Generic knowledge, lacks nuance","Explains mechanics (auctions), knows edge cases & policy","Ads work by bidding","Second-price auctions optimize truth but erode margin. Shifted to first-price..."
5. Domain,AI/ML,,,Assess expertise in product area,"Industry knowledge, regulatory awareness","Generic knowledge, lacks nuance","Explains mechanics (auctions), knows edge cases & policy","Ads work by bidding","Second-price auctions optimize truth but erode margin. Shifted to first-price..."
